-2.000000000000000000e+01 -2.000000000000000000e+01 -2.000000000000000000e+01 1.292315334598604292e-03 1.292315334598604509e-03 1.712674198111752014e-03 7.962937749965355039e-07 7.962937749965165516e-07 1.505344030338431444e-06
-1.950000000000000000e+01 -1.950000000000000000e+01 -1.950000000000000000e+01 1.295586600673625469e-03 1.295586600673625036e-03 1.713948285264392697e-03 8.180314792661023803e-07 8.180314792660643697e-07 1.609629718683293886e-06
-1.900000000000000000e+01 -1.900000000000000000e+01 -1.900000000000000000e+01 1.302121934986240825e-03 1.302121934986240608e-03 1.716280209366323039e-03 8.018610829149754344e-07 8.018610829149363650e-07 1.423407656780790980e-06
-1.850000000000000000e+01 -1.850000000000000000e+01 -1.850000000000000000e+01 1.312053417295842069e-03 1.312053417295842069e-03 1.720206371245464874e-03 8.689520976415678929e-07 8.689520976415519052e-07 1.740005351168006548e-06
-1.800000000000000000e+01 -1.800000000000000000e+01 -1.800000000000000000e+01 1.325359009308660308e-03 1.325359009308659658e-03 1.725072869162398758e-03 8.354533733155192830e-07 8.354533733155543290e-07 1.362089030175809806e-06
-1.750000000000000000e+01 -1.750000000000000000e+01 -1.750000000000000000e+01 1.342314164424954388e-03 1.342314164424954171e-03 1.731974286950842051e-03 9.538093216086860428e-07 9.538093216086640200e-07 1.902720011270289981e-06
-1.700000000000000000e+01 -1.700000000000000000e+01 -1.700000000000000000e+01 1.362880701908720290e-03 1.362880701908719856e-03 1.739803132643565455e-03 9.005391139552938174e-07 9.005391139552310311e-07 1.321508459831765444e-06
-1.650000000000000000e+01 -1.650000000000000000e+01 -1.650000000000000000e+01 1.387501824186599363e-03 1.387501824186599579e-03 1.750258909153829673e-03 1.081005542986633815e-06 1.081005542986683367e-06 2.107484078562899337e-06
-1.600000000000000000e+01 -1.600000000000000000e+01 -1.600000000000000000e+01 1.416121174828134611e-03 1.416121174828134177e-03 1.761752286943358940e-03 1.003960434054816039e-06 1.003960434054834250e-06 1.303812317157284503e-06
-1.550000000000000000e+01 -1.550000000000000000e+01 -1.550000000000000000e+01 1.449391191779760436e-03 1.449391191779760869e-03 1.776666466582962683e-03 1.264062530458522781e-06 1.264062530458489535e-06 2.369124723231203898e-06
-1.500000000000000000e+01 -1.500000000000000000e+01 -1.500000000000000000e+01 1.487234901926606789e-03 1.487234901926606356e-03 1.792886964208424520e-03 1.157211135346534266e-06 1.157211135346580006e-06 1.313773748312234431e-06
-1.450000000000000000e+01 -1.450000000000000000e+01 -1.450000000000000000e+01 1.530579930181697737e-03 1.530579930181697737e-03 1.813604256787143976e-03 1.524208821329294090e-06 1.524208821329344912e-06 2.710430271936656374e-06
-1.400000000000000000e+01 -1.400000000000000000e+01 -1.400000000000000000e+01 1.579326603073272781e-03 1.579326603073272347e-03 1.836115954125858542e-03 1.378753588471859000e-06 1.378753588472050006e-06 1.360077074456566389e-06
-1.350000000000000000e+01 -1.350000000000000000e+01 -1.350000000000000000e+01 1.634780979271595195e-03 1.634780979271595195e-03 1.864610030822308950e-03 1.894899724965730968e-06 1.894899724965520269e-06 3.167123559648926916e-06
-1.300000000000000000e+01 -1.300000000000000000e+01 -1.300000000000000000e+01 1.696820709969169534e-03 1.696820709969168884e-03 1.895707480086211618e-03 1.698144576760360103e-06 1.698144576760348245e-06 1.457852176456412692e-06
-1.250000000000000000e+01 -1.250000000000000000e+01 -1.250000000000000000e+01 1.767293331785885300e-03 1.767293331785885300e-03 1.934888054370606601e-03 2.429877004027077773e-06 2.429877004027106995e-06 3.796831271037540762e-06
-1.200000000000000000e+01 -1.200000000000000000e+01 -1.200000000000000000e+01 1.846059926702957148e-03 1.846059926702956714e-03 1.977972061725203224e-03 2.163517747613330436e-06 2.163517747613385916e-06 1.633684614565230601e-06
-1.150000000000000000e+01 -1.150000000000000000e+01 -1.150000000000000000e+01 1.935772912150846275e-03 1.935772912150845191e-03 2.032194951257697800e-03 3.218052079825078348e-06 3.218052079825124934e-06 4.695913845732715202e-06
-1.100000000000000000e+01 -1.100000000000000000e+01 -1.100000000000000000e+01 2.036298079033995248e-03 2.036298079033996115e-03 2.092403979810104637e-03 2.855654076519086665e-06 2.855654076519136640e-06 1.935836614556331029e-06
-1.050000000000000000e+01 -1.050000000000000000e+01 -1.050000000000000000e+01 2.151532652485496459e-03 2.151532652485497760e-03 2.168343033111016192e-03 4.412270428485404903e-06 4.412270428485652237e-06 6.032573143879273714e-06
-1.000000000000000000e+01 -1.000000000000000000e+01 -1.000000000000000000e+01 2.281404918216463698e-03 2.281404918216463264e-03 2.253649552296778553e-03 3.915763707148889347e-06 3.915763707148849536e-06 2.456092053084133190e-06
-9.500000000000000000e+00 -9.500000000000000000e+00 -9.500000000000000000e+00 2.431824033649553594e-03 2.431824033649554462e-03 2.361844454126251023e-03 6.288095891097175440e-06 6.288095891097118689e-06 8.115705464369432984e-06
-9.000000000000000000e+00 -9.000000000000000000e+00 -9.000000000000000000e+00 2.602927243606733849e-03 2.602927243606732981e-03 2.485039982850851571e-03 5.603781247026322270e-06 5.603781247026404432e-06 3.379225085487961728e-06
-8.500000000000000000e+00 -8.500000000000000000e+00 -8.500000000000000000e+00 2.804047764095644879e-03 2.804047764095643578e-03 2.642776971044129980e-03 9.372388868059517724e-06 9.372388868059532970e-06 1.154783265466746098e-05
-8.000000000000000000e+00 -8.000000000000000000e+00 -8.000000000000000000e+00 3.035902106218273805e-03 3.035902106218275106e-03 2.825258920255236793e-03 8.430223847921700580e-06 8.430223847921702274e-06 5.103103227993809631e-06
